ID,Book,Authors,Subjects,Bookshelves
1,The Declaration of Independence of the United States of America,"Jefferson, Thomas, 1743-1826","United States -- History -- Revolution, 1775-1783 -- Sources; United States. Declaration of Independence",Politics
1,The Declaration of Independence of the United States of America,"Jefferson, Thomas, 1743-1826","United States -- History -- Revolution, 1775-1783 -- Sources; United States. Declaration of Independence",American Revolutionary War
1,The Declaration of Independence of the United States of America,"Jefferson, Thomas, 1743-1826","United States -- History -- Revolution, 1775-1783 -- Sources; United States. Declaration of Independence",United States Law
2,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",United States,Civil rights -- United States -- Sources; United States. Constitution. 1st-10th Amendments,Politics
2,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",United States,Civil rights -- United States -- Sources; United States. Constitution. 1st-10th Amendments,American Revolutionary War
2,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",United States,Civil rights -- United States -- Sources; United States. Constitution. 1st-10th Amendments,United States Law
4,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","Lincoln, Abraham, 1809-1865","Consecration of cemeteries -- Pennsylvania -- Gettysburg; Soldiers' National Cemetery (Gettysburg, Pa.); Lincoln, Abraham, 1809-1865. Gettysburg address",US Civil War
5,The United States Constitution,United States,United States -- Politics and government -- 1783-1789 -- Sources; United States. Constitution,United States
5,The United States Constitution,United States,United States -- Politics and government -- 1783-1789 -- Sources; United States. Constitution,Politics
5,The United States Constitution,United States,United States -- Politics and government -- 1783-1789 -- Sources; United States. Constitution,American Revolutionary War
5,The United States Constitution,United States,United States -- Politics and government -- 1783-1789 -- Sources; United States. Constitution,United States Law
6,Give Me Liberty or Give Me Death,"Henry, Patrick, 1736-1799","Speeches, addresses, etc., American; United States -- Politics and government -- 1775-1783 -- Sources; Virginia -- Politics and government -- 1775-1783 -- Sources",American Revolutionary War
8,Abraham Lincoln's Second Inaugural Address,"Lincoln, Abraham, 1809-1865",United States -- Politics and government -- 1861-1865; Presidents -- United States -- Inaugural addresses,US Civil War
9,Abraham Lincoln's First Inaugural Address,"Lincoln, Abraham, 1809-1865",United States -- Politics and government -- 1861-1865; Presidents -- United States -- Inaugural addresses,US Civil War
10,The King James Version of the Bible,,Bible,Banned Books List from the American Library Association
11,Alice's Adventures in Wonderland,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,Children's Literature
12,Through the Looking-Glass,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,Best Books Ever Listings
12,Through the Looking-Glass,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,Children's Literature
13,The Hunting of the Snark: An Agony in Eight Fits,"Carroll, Lewis, 1832-1898","Nonsense verses, English",Children's Literature
14,The 1990 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",CIA World Factbooks
15,"Moby-Dick; or, The Whale","Melville, Herman, 1819-1891","Whaling -- Fiction; Sea stories; Psychological fiction; Ship captains -- Fiction; Adventure stories; Mentally ill -- Fiction; Ahab, Captain (Fictitious character) -- Fiction; Whales -- Fiction; Whaling ships -- Fiction",Best Books Ever Listings
15,"Moby-Dick; or, The Whale","Melville, Herman, 1819-1891","Whaling -- Fiction; Sea stories; Psychological fiction; Ship captains -- Fiction; Adventure stories; Mentally ill -- Fiction; Ahab, Captain (Fictitious character) -- Fiction; Whales -- Fiction; Whaling ships -- Fiction",Adventure
16,Peter Pan,"Barrie, J. M. (James Matthew), 1860-1937",Fantasy literature; Peter Pan (Fictitious character) -- Fiction; Never-Never Land (Imaginary place) -- Fiction; Pirates -- Fiction; Fairies -- Fiction,Children's Literature
16,Peter Pan,"Barrie, J. M. (James Matthew), 1860-1937",Fantasy literature; Peter Pan (Fictitious character) -- Fiction; Never-Never Land (Imaginary place) -- Fiction; Pirates -- Fiction; Fairies -- Fiction,Movie Books
